Instance,CHE,CC,CTD,CTnCTR,PCS,MCTD,HRHE_i,HRC_i,CBS
Ground Truth,2.171755963391433,11.571428571428571,0.8042645975005029,0.8581311892264216,0.3338033695098851,1.3713189325014312,0.5452796017636833,2.1785714285714284,0.22751552513966342
Target,1.1598092965823326,4.133333333333334,0.8900991477032875,0.9047157279459109,0.5168205079293183,1.294532569997022,0.6575186609423677,2.3555555555555556,0.23385868464511145
fhl,1.140420691258244,4.333333333333333,0.6376671922424096,0.6510315765349657,0.2862220975870405,1.54731245908117,0.45975587443502125,2.2888888888888888,0.10008210754295914
l,1.6868345956169375,7.844444444444444,0.7078494607061392,0.6947299128458014,0.2765973894060158,1.5160397775155265,0.5661651535542334,2.533333333333333,0.13089248868393352
layers_0_1_2_3_alpha_2_5,0.8897508238887538,3.688888888888889,0.5841738007781604,0.6460045262551372,0.2863420499009679,1.5434057888049153,0.2420417694639657,1.7333333333333334,0.04125324203755576
layers_0_1_2_3_alpha_5_0,0.45269856597106833,2.2,0.32558749144086974,0.6021518768961315,0.25986097567452,1.5689100264350335,0.24792786966667968,1.6666666666666667,0.04779658723392739
layers_1_2_alpha_2_5,1.3477447135593543,5.4,0.7797695963013938,0.6363592683592606,0.25848389231660807,1.5529789345576201,0.26599529218245366,1.8444444444444446,0.047901075723573154
layers_1_2_alpha_5_0,0.901838648683376,3.6,0.5698651323199445,0.6222661534565032,0.2551367454807516,1.5585846549479687,0.22638726489966007,1.5777777777777777,0.04086089654717106
Ground Truth,2.171755963391433,11.571428571428571,0.8042645975005029,0.8581311892264216,0.3338033695098851,1.3713189325014312,0.5452796017636833,2.1785714285714284,0.22751552513966342
Target,1.1598092965823326,4.133333333333334,0.8900991477032875,0.9047157279459109,0.5168205079293183,1.294532569997022,0.6575186609423677,2.3555555555555556,0.23385868464511145
fhl,1.4354210714296354,6.088888888888889,0.6819828622222601,0.7044717499766632,0.35778106994794173,1.4443220546578113,0.7861873196553137,3.088888888888889,0.23357890835399037
l,1.5504437200230834,6.355555555555555,0.5197728799760869,0.7033556122152913,0.3254835650620187,1.4532880441224338,0.7861280112968454,3.0,0.22251545209157678
layers_0_1_2_3_4_5_6_7_alpha_2_5,0.31997270257385313,1.8444444444444446,0.21408499605927406,0.662128430584368,0.34249285378742084,1.4942486337530791,0.22855244615750708,1.6666666666666667,0.04266439519277497
layers_0_1_2_3_4_5_6_7_alpha_5_0,0.031367148089597466,1.0666666666666667,0.020268514639223772,0.627384885060289,0.2921013128488108,1.5393378057199574,0.034131347010871727,1.0888888888888888,0.006913580246913581
layers_4_5_6_alpha_2_5,1.4293500254953448,5.4,0.7288558442524283,0.7874781433336662,0.41292525366308447,1.3715423232387558,0.19375603386181173,1.511111111111111,0.04193210807589893
layers_4_5_6_alpha_5_0,0.7857917741681495,3.066666666666667,0.4497094426276664,0.7105296650056215,0.35595276774135226,1.4622897527978782,0.25002526133513325,1.7777777777777777,0.045181362993540496
